rid,text,rating,date
teal-potion-4,Unique flavor and great energy boost. It's the perfect gamer's drink!,5,2023-05-18
red-potion-4,Good flavor and keeps me energized. The bottle design is really fun.,5,2023-05-17
dragon-potion-4,Excellent energy drink for gamers. The tropical flavor is refreshing.,4,2023-05-16
blue-energy-potion-6,"It’s fun, tastes good, and the energy boost is helpful during intense gaming sessions.",5,2023-05-15
classic-leather-sneakers-10,"The best sneakers I've bought in a long time. Stylish, comfortable and the leather quality is top-notch.",5,2023-05-15
dark-red-potion-4,The cherry cola flavor is a win. Keeps me energized and focused.,5,2023-05-12
kids-light-up-sneakers-12,These shoes are a hit with my twins. They love the lights and they seem to be quite durable.,5,2023-05-10
hiking-boots-outdoor-12,Excellent boots for outdoor adventures. They offer great support and are very comfortable.,5,2023-05-01
cat-ear-beanie-10,"Nice design and good quality, but a bit too tight for me. Otherwise, it's a pretty cool beanie.",4,2023-05-01
blue-energy-potion-5,Really enjoyed the citrus flavor and the energy boost it gives.,5,2023-04-25
kids-light-up-sneakers-11,"Great concept, but the sizing is a bit off. Order a size larger.",3,2023-04-25
chocolate-candy-box-10,"Delicious chocolates, and the box is pretty substantial. It'd make a nice gift.",5,2023-04-18
hiking-boots-outdoor-11,"The boots are durable, but the laces could be better quality.",4,2023-04-12
dragon-potion-3,This potion is a game changer. Love the energy boost and the flavor.,5,2023-04-11
men-running-shoes-10,"Light, comfortable, and nice design. I'm buying another pair.",5,2023-04-10
kids-light-up-sneakers-10,Highly recommend! These shoes are great for evening walks. Kids love them!,5,2023-04-10
red-potion-3,It's like a health potion for gamers! The energy boost is spot on.,4,2023-04-09
teal-potion-3,Really helps me focus during intense gaming marathons. The teal color is a nice touch.,5,2023-04-07
classic-leather-sneakers-9,The shoes are nice but they didn't fit me well. I had to exchange for a larger size.,3,2023-04-07
dark-red-potion-3,"Great taste, and the energy kick is awesome. Feels just like a strength potion.",5,2023-04-05
cat-ear-beanie-9,Exceptional beanie! I wear it every time I go out in cold weather. The material is comfortable and durable. Highly recommend it.,5,2023-04-05
blue-energy-potion-4,Great taste and doesn't give me a crash afterwards.,4,2023-04-01
women-sandals-10,"Good quality and fit, but the color is a bit off from the picture. Still, they're pretty.",4,2023-03-25
cat-ear-beanie-8,"The beanie is cute, but the cat ears were a bit floppy. Overall, I like it and wear it regularly.",3,2023-03-25
hiking-boots-outdoor-10,"Good quality and comfortable, but a bit pricey.",4,2023-03-24
chocolate-candy-box-9,"The orange flavor wasn't my favorite, but the cherry ones are great.",4,2023-03-20
red-potion-2,"Not only does it look cool, but it tastes great and gives a good energy boost!",5,2023-03-20
dragon-potion-2,Just what I need for long gaming sessions. Great flavor and energy boost.,5,2023-03-15
dark-red-potion-2,"Definitely helped me stay focused during my long gaming nights. Plus, the bottle design is pretty cool.",5,2023-03-14
teal-potion-2,"I love how it gives me the energy I need for my gaming sessions. Plus, no sugar crash.",4,2023-03-14
blue-energy-potion-3,"Finally, an energy drink for gamers! It's just like a mana potion.",5,2023-03-10
cat-ear-beanie-7,"I'm not really a cat person, but I like the quality and comfort of this beanie. My friend recommended it, and I'm glad I bought it.",4,2023-03-10
men-running-shoes-9,"They're a good pair of running shoes for the price. They're not the best I've had, but they do the job.",3,2023-03-05
kids-light-up-sneakers-9,"The sneakers are fun and eye-catching, but my pair arrived with one shoe not lighting up.",2,2023-03-05
classic-leather-sneakers-8,Very comfortable and the leather feels premium. Would recommend to anyone looking for classic sneakers.,5,2023-03-01
classic-leather-sneakers-7,"Great sneakers, but the white ones get dirty easily. Otherwise, they're perfect.",4,2023-02-25
hiking-boots-outdoor-9,"Love these boots. They're rugged and comfortable, perfect for outdoor activities.",5,2023-02-22
blue-energy-potion-2,Perfect for long gaming nights. Love the taste and the cool bottle design.,5,2023-02-20
men-running-shoes-8,"Comfortable, good fit, and the grip is excellent. Happy with my purchase.",5,2023-02-20
kids-light-up-sneakers-8,Good quality and the lights are a nice touch. My kid wears them all the time.,4,2023-02-20
dragon-potion-1,"The tropical flavor is really good, and the energy kick is powerful.",5,2023-02-18
women-sandals-9,Stunning and comfortable. I wore them to a wedding and got so many compliments.,5,2023-02-17
chocolate-candy-box-8,"The box is nicely packaged, making it a great gift option.",5,2023-02-15
cat-ear-beanie-6,It's quite nice but a little snug on my head. Maybe it's just my head size. But I love the design!,3,2023-02-15
dark-red-potion-1,The cherry cola flavor is very appealing. Provides a good energy boost for gaming!,4,2023-02-12
teal-potion-1,The mint and citrus blend is very refreshing. And the bottle design is great too!,5,2023-02-12
red-potion-1,The berry flavor is intense and delicious. Great for keeping me focused during my gaming sessions.,5,2023-02-10
chocolate-candy-box-7,These chocolates are so tasty! Love the variety of flavors.,5,2023-01-24
women-sandals-8,"Nice sandals, but they run a bit small. I recommend ordering a size up.",4,2023-01-23
blue-energy-potion-1,The design is just epic! And the energy boost is real.,4,2023-01-15
men-running-shoes-7,Really like the design and they're great for running. They're also easy to clean.,4,2023-01-15
kids-light-up-sneakers-7,These sneakers are worth every penny! They're durable and my kid loves them!,5,2023-01-15
hiking-boots-outdoor-8,"These are decent boots for hiking, but they took a while to break in.",3,2023-01-13
classic-leather-sneakers-6,"Impressive build quality and comfort. However, I wish they were a bit cheaper.",4,2023-01-10
cat-ear-beanie-5,A must-have for cat lovers. It's adorable and keeps me warm during chilly weather.,4,2023-01-10
cat-ear-beanie-4,"I bought this for my daughter, and she adores it! It's become her favorite winter accessory.",5,2022-12-25
chocolate-candy-box-6,"Bought the large box, and it's lasted quite a while. Great for when you need a sweet treat.",5,2022-12-18
women-sandals-7,These sandals are a must-have! They look amazing and feel great.,5,2022-12-18
hiking-boots-outdoor-7,Great traction and support. My feet stayed dry even in wet conditions.,5,2022-12-07
men-running-shoes-6,"Shoes are okay, but the cushioning could be better.",3,2022-11-25
kids-light-up-sneakers-6,The shoes are great but the battery life for the lights could be better.,3,2022-11-25
women-sandals-6,"Beautiful shoes, but not very comfortable. Good for short-term wear.",3,2022-11-20
classic-leather-sneakers-5,Was looking for a good pair of white sneakers and these fit the bill. Excellent quality and design.,5,2022-11-20
hiking-boots-outdoor-6,These boots are perfect for hiking. They're comfortable and provide excellent support.,5,2022-11-10
chocolate-candy-box-5,"A bit pricey, but the quality of the chocolate is worth it.",4,2022-11-05
hiking-boots-outdoor-5,"Great boots! The size was perfect, and they're very comfortable.",5,2022-10-19
women-sandals-5,"Great quality for the price. The buckle closure is secure, and the heel feels sturdy.",4,2022-10-14
men-running-shoes-5,"Good shoes, but they run a little small. I'd recommend ordering a half size up.",4,2022-10-05
kids-light-up-sneakers-5,"Nice design and the lights are bright. However, they run a bit small. Order a size up.",4,2022-10-05
cat-ear-beanie-3,"Great beanie, but I wish there were more colors available. The cat ears design is really nice.",3,2022-10-05
chocolate-candy-box-4,The cherry flavor is amazing. Will be buying more.,5,2022-10-02
hiking-boots-outdoor-4,"These boots are durable and comfortable, but they're a bit heavy.",4,2022-09-28
women-sandals-4,"The sandals are pretty, but the heel is higher than I expected.",3,2022-09-27
cat-ear-beanie-2,"A cozy and unique beanie. Received a lot of compliments. Plus, it's cat-themed, so that's a win for me!",4,2022-09-20
men-running-shoes-4,"Best running shoes I've had in a while. They're really comfortable, even on long runs.",5,2022-09-15
kids-light-up-sneakers-4,Comfortable and fun! My child loves showing off the light-up feature to friends.,4,2022-09-15
classic-leather-sneakers-4,They're nice shoes but they felt a little tight at first. They loosened up after a few days though.,3,2022-09-12
chocolate-candy-box-3,Nice variety of flavors. The chocolate is rich and smooth.,5,2022-09-10
chocolate-candy-box-2,"I bought these as a gift, and they were well received. Will definitely purchase again.",4,2022-08-16
hiking-boots-outdoor-3,Good quality boots. They keep my feet dry and comfortable during long hikes.,4,2022-08-15
men-running-shoes-3,"These shoes look good, but they wore out a bit faster than I expected.",3,2022-08-10
kids-light-up-sneakers-3,"Cool shoes, but the lights stopped working after a few weeks.",3,2022-08-10
classic-leather-sneakers-3,I got the black ones and they look sleek. Got compliments on the first day I wore them out.,5,2022-08-07
women-sandals-3,Absolutely love these sandals! They're so elegant and surprisingly comfortable.,5,2022-08-03
hiking-boots-outdoor-2,Comfortable and sturdy. Perfect for outdoor adventures.,5,2022-07-30
chocolate-candy-box-1,Absolutely delicious! The orange flavor is my favorite.,5,2022-07-22
men-running-shoes-2,Very happy with my purchase. These shoes provide good support for my morning jogs.,4,2022-07-20
kids-light-up-sneakers-2,"Bought these for my son's birthday, and they were the star of the party. Great shoes!",5,2022-07-20
women-sandals-2,"These sandals look great, but they're a bit tight. Maybe they'll stretch over time.",4,2022-07-18
cat-ear-beanie-1,"Love this Cat Ear Beanie! It's so cute and surprisingly warm. The material is so soft, and the cat ears are a nice touch!",5,2022-07-15
classic-leather-sneakers-2,I love the classic design of these sneakers. They match well with my outfits. The leather is of top quality.,4,2022-07-10
men-running-shoes-1,"Great shoes for running! Comfortable and stylish, with excellent traction.",5,2022-07-01
kids-light-up-sneakers-1,My daughter loves these shoes! She doesn't want to take them off. They're comfortable and the lights are a big hit.,5,2022-07-01
hiking-boots-outdoor-1,These boots are fantastic for hiking. The grip on the soles is really good.,5,2022-06-15
classic-leather-sneakers-1,"These shoes are not only stylish, but also super comfortable. They're perfect for any occasion!",5,2022-06-15
women-sandals-1,Stylish and comfortable! I love the strappy design.,5,2022-06-12
